
1* Interacao:
Posicao: [500, 50, 15, 1, 1] -> Acuracia: 97.9%, Precisao: 100.0%, Recall: 86.8%, Performance: 94.9%
Posicao: [489, 50, 6, 1, 0.5937] -> Acuracia: 98.0%, Precisao: 99.3%, Recall: 88.0%, Performance: 95.1%
Posicao: [439, 50, 5, 1, 0.5048] -> Acuracia: 98.1%, Precisao: 99.5%, Recall: 88.5%, Performance: 95.4%
Posicao: [500, 50, 9, 1, 0.4823] -> Acuracia: 98.2%, Precisao: 99.3%, Recall: 88.9%, Performance: 95.5%
Posicao: [487, 50, 8, 1, 0.4245] -> Acuracia: 98.3%, Precisao: 99.5%, Recall: 89.3%, Performance: 95.7%
Posicao: [437, 35, 24, 6, 0.6172] -> Acuracia: 97.3%, Precisao: 95.5%, Recall: 86.8%, Performance: 93.2%
Posicao: [443, 50, 7, 1, 0.6344] -> Acuracia: 98.1%, Precisao: 99.3%, Recall: 88.2%, Performance: 95.2%
Posicao: [437, 50, 7, 1, 0.552] -> Acuracia: 98.2%, Precisao: 99.3%, Recall: 88.9%, Performance: 95.5%
Posicao: [484, 50, 6, 1, 0.6115] -> Acuracia: 98.1%, Precisao: 99.3%, Recall: 88.2%, Performance: 95.2%
Posicao: [325, 33, 28, 1, 0.2654] -> Acuracia: 98.1%, Precisao: 98.4%, Recall: 89.5%, Performance: 95.3%

14* Interacao:
Posicao: [500, 50, 14, 1, 1] -> Acuracia: 98.5%, Precisao: 99.5%, Recall: 89.5%, Performance: 95.8%
Posicao: [351, 49, 7, 2, 0.7802] -> Acuracia: 98.8%, Precisao: 98.7%, Recall: 92.8%, Performance: 96.8%
