1* Interacao:
Posicao: [598, 0.0587, 128, 4, 0.6652, 0.6679, 36, 3.3531, 1.0244] -> Acuracia: 74.8%, Precisao: 62.8%, Recall: 67.5%, Performance: 67.2%
Posicao: [669, 0.1313, 101, 15, 0.8875, 0.6294, 33, 1.9241, 1.8127] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [370, 0.0637, 123, 15, 0.9105, 0.5457, 31, 1.4411, 2.3885] -> Acuracia: 74.8%, Precisao: 64.9%, Recall: 60.0%, Performance: 63.5%
Posicao: [689, 0.1232, 101, 15, 0.86, 0.6272, 32, 2.269, 1.8196] -> Acuracia: 78.3%, Precisao: 68.3%, Recall: 70.0%, Performance: 70.7%

Melhor Posicao: [592, 0.1261, 100, 15, 0.8895, 0.628, 33, 1.9948, 1.7508] -> Acuracia: 79.1%, Precisao: 69.0%, Recall: 72.5%, Performance: 72.4%

8* Interacao:
Posicao: [520, 0.2122, 79, 15, 0.8124, 0.5451, 28, 1.5944, 1.5386] -> Acuracia: 76.5%, Precisao: 65.9%, Recall: 67.5%, Performance: 68.3%
Posicao: [204, 0.1318, 106, 15, 0.9074, 0.6269, 34, 2.1419, 1.5781] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [802, 0.1391, 98, 15, 0.8531, 0.6361, 33, 2.464, 1.5586] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [590, 0.1325, 98, 15, 0.8915, 0.6341, 34, 1.8049, 1.8544] -> Acuracia: 76.5%, Precisao: 65.1%, Recall: 70.0%, Performance: 69.5%
Posicao: [376, 0.0845, 113, 15, 0.9254, 0.5743, 34, 1.5155, 1.6133] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [356, 0.0887, 90, 15, 0.89, 0.673, 27, 2.5338, 0.9598] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [584, 0.0937, 128, 7, 0.6842, 0.6235, 39, 2.5938, 1.5129] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [617, 0.1222, 102, 15, 0.9003, 0.6217, 33, 1.7438, 1.8417] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [402, 0.1085, 106, 15, 0.9233, 0.6054, 32, 1.4982, 1.9464] -> Acuracia: 76.5%, Precisao: 65.1%, Recall: 70.0%, Performance: 69.5%
Posicao: [570, 0.1268, 100, 15, 0.892, 0.6282, 33, 1.9324, 1.7351] -> Acuracia: 76.5%, Precisao: 65.1%, Recall: 70.0%, Performance: 69.5%

Melhor Posicao: [592, 0.1261, 100, 15, 0.8895, 0.628, 33, 1.9948, 1.7508] -> Acuracia: 79.1%, Precisao: 69.0%, Recall: 72.5%, Performance: 72.4%

9* Interacao:
Posicao: [440, 0.2721, 63, 15, 0.716, 0.5, 26, 1.317, 1.4228] -> Acuracia: 75.7%, Precisao: 64.3%, Recall: 67.5%, Performance: 67.8%
Posicao: [623, 0.2281, 82, 15, 0.8417, 0.6303, 42, 3.6399, 0.0884] -> Acuracia: 77.4%, Precisao: 67.5%, Recall: 67.5%, Performance: 68.9%
Posicao: [670, 0.1326, 98, 15, 0.8732, 0.636, 33, 2.2075, 1.7006] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [573, 0.1213, 101, 15, 0.8922, 0.6235, 32, 2.0519, 1.7098] -> Acuracia: 76.5%, Precisao: 66.7%, Recall: 65.0%, Performance: 67.1%
Posicao: [332, 0.0476, 121, 15, 0.9278, 0.5308, 34, 1.4056, 1.3424] -> Acuracia: 77.4%, Precisao: 67.5%, Recall: 67.5%, Performance: 68.9%
Posicao: [549, 0.1102, 91, 15, 0.9474, 0.6689, 29, 2.3177, 1.4631] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [573, 0.1244, 128, 10, 0.7126, 0.5874, 41, 1.935, 1.9275] -> Acuracia: 75.7%, Precisao: 65.8%, Recall: 62.5%, Performance: 65.3%
Posicao: [663, 0.1432, 96, 15, 0.8626, 0.6442, 33, 2.4262, 1.6538] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [511, 0.1458, 92, 15, 0.9176, 0.6547, 33, 1.7457, 1.5691] -> Acuracia: 76.5%, Precisao: 65.1%, Recall: 70.0%, Performance: 69.5%
Posicao: [521, 0.1283, 99, 15, 0.9075, 0.6286, 34, 1.7938, 1.7003] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%

Melhor Posicao: [592, 0.1261, 100, 15, 0.8895, 0.628, 33, 1.9948, 1.7508] -> Acuracia: 79.1%, Precisao: 69.0%, Recall: 72.5%, Performance: 72.4%

10* Interacao:
Posicao: [474, 0.2306, 73, 15, 0.7514, 0.5312, 28, 1.51, 1.5263] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [273, 0.0573, 117, 15, 0.9375, 0.6255, 28, 0.9266, 2.8119] -> Acuracia: 76.5%, Precisao: 67.6%, Recall: 62.5%, Performance: 66.0%
Posicao: [441, 0.121, 98, 15, 0.9084, 0.6354, 32, 1.7599, 1.9439] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [582, 0.1206, 102, 15, 0.8902, 0.6228, 32, 2.109, 1.6829] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [721, 0.1332, 109, 15, 0.8651, 0.6295, 33, 2.2729, 1.6821] -> Acuracia: 76.5%, Precisao: 65.1%, Recall: 70.0%, Performance: 69.5%
Posicao: [608, 0.1183, 92, 15, 0.9557, 0.6625, 31, 2.2159, 1.6394] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [583, 0.1019, 126, 8, 0.7093, 0.6181, 39, 2.4261, 1.6046] -> Acuracia: 76.5%, Precisao: 65.1%, Recall: 70.0%, Performance: 69.5%
Posicao: [644, 0.1426, 96, 15, 0.8615, 0.6447, 33, 2.4757, 1.6283] -> Acuracia: 78.3%, Precisao: 68.3%, Recall: 70.0%, Performance: 70.7%
Posicao: [522, 0.1514, 88, 15, 0.9335, 0.6627, 35, 1.5777, 1.5209] -> Acuracia: 77.4%, Precisao: 66.7%, Recall: 70.0%, Performance: 70.1%
Posicao: [589, 0.1262, 100, 15, 0.8919, 0.628, 33, 1.9864, 1.7487] -> Acuracia: 78.3%, Precisao: 67.4%, Recall: 72.5%, Performance: 71.9%

Melhor Posicao: [592, 0.1261, 100, 15, 0.8895, 0.628, 33, 1.9948, 1.7508] -> Acuracia: 79.1%, Precisao: 69.0%, Recall: 72.5%, Performance: 72.4%


Performance no teste: 72.4%, 64.5%, 48.8%
