iter	Passed	Remaining
919	20974	14910
920	20996	14886
921	21020	14864
922	21044	14842
923	21068	14820
924	21092	14798
925	21115	14776
926	21137	14753
927	21160	14730
928	21182	14706
929	21204	14683
930	21228	14661
931	21252	14639
932	21275	14616
933	21298	14594
934	21320	14571
935	21343	14548
936	21365	14525
937	21388	14501
938	21411	14479
939	21435	14457
940	21459	14435
941	21483	14413
942	21507	14391
943	21529	14368
944	21553	14345
945	21576	14323
946	21598	14300
947	21622	14278
948	21646	14256
949	21670	14234
950	21693	14211
951	21716	14188
952	21739	14165
953	21761	14142
954	21783	14119
955	21805	14096
956	21828	14073
957	21851	14050
958	21875	14028
959	21899	14006
960	21923	13984
961	21946	13961
962	21969	13939
963	21992	13916
964	22015	13893
965	22039	13871
966	22062	13849
967	22086	13826
968	22110	13804
969	22134	13782
970	22157	13760
971	22181	13737
972	22203	13714
973	22226	13692
974	22250	13669
975	22273	13647
976	22297	13625
977	22321	13602
978	22344	13580
979	22367	13557
980	22390	13534
981	22413	13511
982	22436	13489
983	22459	13466
984	22483	13444
985	22506	13421
986	22530	13399
987	22554	13377
988	22578	13355
989	22600	13332
990	22623	13309
991	22647	13287
992	22671	13264
993	22695	13242
994	22719	13220
995	22742	13198
996	22765	13175
997	22790	13153
998	22813	13131
999	22837	13108
1000	22860	13086
1001	22883	13063
1002	22908	13041
1003	22932	13019
1004	22955	12996
1005	22979	12974
1006	23002	12951
1007	23025	12928
1008	23048	12906
1009	23071	12883
1010	23095	12861
1011	23119	12838
1012	23142	12816
1013	23166	12793
1014	23189	12771
1015	23212	12748
1016	23235	12725
1017	23259	12703
1018	23282	12680
1019	23305	12657
1020	23328	12635
1021	23351	12612
1022	23375	12590
1023	23398	12567
1024	23421	12544
1025	23445	12522
1026	23469	12500
1027	23492	12477
1028	23515	12454
1029	23539	12432
1030	23563	12410
1031	23586	12387
1032	23610	12364
1033	23633	12342
1034	23656	12319
1035	23680	12297
1036	23703	12274
1037	23727	12252
1038	23751	12229
1039	23774	12207
1040	23799	12185
1041	23824	12163
1042	23848	12141
1043	23871	12118
1044	23894	12096
1045	23917	12073
1046	23940	12050
1047	23964	12028
1048	23987	12005
1049	24011	11982
1050	24035	11960
1051	24057	11937
1052	24080	11914
1053	24104	11891
1054	24127	11869
1055	24150	11846
1056	24174	11824
1057	24197	11801
1058	24220	11778
1059	24243	11755
1060	24266	11733
1061	24289	11709
1062	24311	11686
1063	24333	11663
1064	24357	11641
1065	24380	11618
1066	24404	11596
1067	24428	11573
1068	24451	11551
1069	24475	11528
1070	24497	11505
1071	24520	11482
1072	24542	11459
1073	24565	11436
1074	24589	11414
1075	24612	11391
1076	24636	11368
1077	24660	11346
1078	24683	11323
1079	24707	11301
1080	24730	11278
1081	24753	11255
1082	24776	11232
1083	24799	11210
1084	24824	11188
1085	24847	11165
1086	24870	11142
1087	24894	11120
1088	24916	11096
1089	24938	11073
1090	24962	11051
1091	24985	11028
1092	25008	11005
1093	25034	10984
1094	25060	10962
1095	25085	10940
1096	25110	10918
1097	25134	10896
1098	25158	10873
1099	25182	10851
1100	25206	10828
1101	25231	10806
1102	25255	10784
1103	25280	10762
1104	25303	10739
1105	25326	10716
1106	25349	10693
1107	25372	10671
1108	25395	10648
1109	25419	10625
1110	25443	10603
1111	25467	10580
1112	25491	10558
1113	25515	10536
1114	25538	10513
1115	25561	10490
1116	25584	10467
1117	25607	10444
1118	25630	10421
1119	25654	10399
1120	25679	10377
1121	25704	10355
1122	25728	10332
1123	25752	10310
1124	25776	10287
1125	25799	10264
1126	25822	10242
1127	25845	10219
1128	25869	10196
1129	25893	10174
1130	25916	10151
1131	25940	10128
1132	25963	10105
1133	25986	10082
1134	26008	10059
1135	26031	10036
1136	26055	10014
1137	26080	9992
1138	26103	9969
1139	26127	9946
1140	26150	9923
1141	26173	9900
1142	26196	9877
1143	26218	9854
1144	26242	9832
1145	26265	9809
1146	26288	9786
1147	26311	9763
1148	26336	9741
1149	26359	9718
1150	26382	9695
1151	26406	9673
1152	26429	9650
1153	26452	9627
1154	26474	9604
1155	26497	9581
1156	26521	9558
